_id,ADDRESS,APPLICATION_FOR,BALLOTS_BLANK,BALLOTS_CAST,BALLOTS_DISTRIBUTED,BALLOTS_IN_FAVOUR,BALLOTS_NEEDED_TO_PROCEED,BALLOTS_NEEDED_TO_PROCEED_LBL,BALLOTS_OPPOSED,BALLOTS_RECEIVED_BY_VOTERS,BALLOTS_RETURNED_TO_SENDER,BALLOTS_SPOILED,CLOSE_DATE,DECLARATIONS_ADDED,FINAL_VOTER_COUNT,MORATORIUM_DATE,OPEN_DATE,PASS_RATE,PASS_RATE_LABEL,POLL_CD,POLL_ID,POLL_RESULT,POTENTIAL_VOTERS,RESPONSE_RATE_MET
789045,37 Cavendish St,Appeal - Front Yard Parking,0,24.0,56.0,20,13.0,25% of ballots received by voters,2,50.0,6.0,2,2015-07-30,0.0,56.0,2018-07-31,2015-06-30,13.0,50% + 1 of received ballots,FYPA 2015-152,220.0,In Favour,62.0,Yes
789046,226 Ava Rd,Appeal - Front Yard Parking,0,26.0,30.0,24,8.0,25% of ballots received by voters,2,30.0,0.0,0,2015-08-01,0.0,30.0,2018-08-02,2015-07-02,14.0,50% + 1 of received ballots,FYPA 2015-153,221.0,In Favour,34.0,Yes
789047,114 Foxwell St,Appeal - Front Yard Parking,0,48.0,77.0,45,19.0,25% of ballots received by voters,2,75.0,2.0,1,2015-08-01,1.0,77.0,2018-08-02,2015-07-02,25.0,50% + 1 of received ballots,FYPA 2015-154,222.0,In Favour,94.0,Yes
789048,170 Roe Ave,Front Yard Parking,0,29.0,94.0,20,23.0,25% of ballots received by voters,2,91.0,3.0,7,2015-08-06,0.0,94.0,2018-08-07,2015-07-07,16.0,50% + 1 of received ballots,FYP 2015-155,223.0,In Favour,109.0,Yes
789049,1159 Davenport Rd,Boulevard Cafe,0,28.0,98.0,20,24.0,25% of ballots received by voters,6,93.0,5.0,2,2015-08-06,0.0,98.0,2017-08-07,2015-07-07,15.0,50% + 1 of received ballots,BCP 2015-156,224.0,In Favour,123.0,Yes
789050,792 Queen St E,Boulevard Cafe,0,30.0,65.0,1,17.0,25% of ballots received by voters,28,65.0,0.0,1,2015-08-07,6.0,65.0,2017-08-08,2015-07-08,16.0,50% + 1 of received ballots,BCP 2015-157,225.0,Opposed,73.0,Yes
789051,88 Evans Ave (former Toronto),Appeal - Front Yard Parking,0,42.0,99.0,35,24.0,25% of ballots received by voters,3,94.0,5.0,4,2015-08-08,0.0,99.0,2018-08-09,2015-07-09,22.0,50% + 1 of received ballots,FYPA 2015-158,226.0,In Favour,119.0,Yes
789052,30 Flanders Rd,Appeal - Front Yard Parking,0,19.0,34.0,12,9.0,25% of ballots received by voters,4,34.0,0.0,3,2015-08-12,0.0,34.0,2018-08-13,2015-07-13,11.0,50% + 1 of received ballots,FYPA 2015-159,227.0,In Favour,38.0,Yes
789053,,Traffic Calming,0,6.0,56.0,5,25.0,50% + 1 of ballots received by voters,1,48.0,8.0,0,2015-08-19,0.0,56.0,2017-08-20,2015-07-20,,60% of received ballots,TCP 2015-162,230.0,Response Rate Not Met,59.0,No
789054,,Traffic Calming,0,40.0,106.0,19,52.0,50% + 1 of ballots received by voters,18,102.0,4.0,3,2015-08-22,0.0,106.0,2017-08-23,2015-07-23,,60% of received ballots,TCP 2015-166,234.0,Response Rate Not Met,127.0,No
789055,1366 Yonge St,Boulevard Cafe,0,104.0,315.0,57,72.0,25% of ballots received by voters,38,287.0,28.0,9,2015-08-22,0.0,315.0,2017-08-23,2015-07-23,53.0,50% + 1 of received ballots,BCP 2015-167,235.0,In Favour,341.0,Yes
